timestamp,age,gender,emotion
2025-05-30T00:57:43.360291,29,"{'Woman': np.float32(1.0041413), 'Man': np.float32(98.99586)}",neutral
2025-05-30T00:57:58.213465,26,"{'Woman': np.float32(0.085163824), 'Man': np.float32(99.91484)}",happy
2025-05-30T00:58:03.335636,29,"{'Woman': np.float32(10.479058), 'Man': np.float32(89.520935)}",neutral
2025-05-30T00:58:10.476442,29,"{'Woman': np.float32(0.16819263), 'Man': np.float32(99.83181)}",angry
2025-05-30T00:58:16.075702,26,"{'Woman': np.float32(0.12814769), 'Man': np.float32(99.87185)}",happy
2025-05-30T00:58:25.667845,25,"{'Woman': np.float32(0.123323165), 'Man': np.float32(99.87668)}",angry
2025-05-30T00:58:37.535446,29,"{'Woman': np.float32(0.43149912), 'Man': np.float32(99.5685)}",sad
